datetime_beginning_utc,datetime_beginning_ept,area,solar_generation_mw
1/2/2020 3:00:00 PM,1/2/2020 10:00:00 AM,OTHER,3.344
1/2/2020 3:00:00 PM,1/2/2020 10:00:00 AM,SOUTH,687.398
1/2/2020 3:00:00 PM,1/2/2020 10:00:00 AM,WEST,26.468
1/2/2020 3:00:00 PM,1/2/2020 10:00:00 AM,RTO,1120.372
1/2/2020 3:00:00 PM,1/2/2020 10:00:00 AM,RFC,432.974
1/2/2020 4:00:00 PM,1/2/2020 11:00:00 AM,MIDATL,408.589
1/2/2020 4:00:00 PM,1/2/2020 11:00:00 AM,OTHER,3.404
1/2/2020 4:00:00 PM,1/2/2020 11:00:00 AM,SOUTH,656.771
1/2/2020 4:00:00 PM,1/2/2020 11:00:00 AM,WEST,34.970
1/2/2020 4:00:00 PM,1/2/2020 11:00:00 AM,RTO,1100.330
1/2/2020 4:00:00 PM,1/2/2020 11:00:00 AM,RFC,443.559
1/2/2020 5:00:00 PM,1/2/2020 12:00:00 PM,MIDATL,334.124
1/2/2020 5:00:00 PM,1/2/2020 12:00:00 PM,OTHER,4.276
1/2/2020 5:00:00 PM,1/2/2020 12:00:00 PM,SOUTH,550.014
1/2/2020 5:00:00 PM,1/2/2020 12:00:00 PM,WEST,41.785
1/2/2020 5:00:00 PM,1/2/2020 12:00:00 PM,RTO,925.923
1/2/2020 5:00:00 PM,1/2/2020 12:00:00 PM,RFC,375.909
1/2/2020 6:00:00 PM,1/2/2020 1:00:00 PM,MIDATL,230.057
1/2/2020 6:00:00 PM,1/2/2020 1:00:00 PM,OTHER,4.122
1/2/2020 6:00:00 PM,1/2/2020 1:00:00 PM,SOUTH,407.045
1/2/2020 6:00:00 PM,1/2/2020 1:00:00 PM,WEST,27.498
1/2/2020 6:00:00 PM,1/2/2020 1:00:00 PM,RTO,664.600
1/2/2020 6:00:00 PM,1/2/2020 1:00:00 PM,RFC,257.555
1/2/2020 7:00:00 PM,1/2/2020 2:00:00 PM,MIDATL,139.690
1/2/2020 7:00:00 PM,1/2/2020 2:00:00 PM,OTHER,2.540
1/2/2020 7:00:00 PM,1/2/2020 2:00:00 PM,SOUTH,330.871
1/2/2020 7:00:00 PM,1/2/2020 2:00:00 PM,WEST,18.887
1/2/2020 7:00:00 PM,1/2/2020 2:00:00 PM,RTO,489.448
1/2/2020 7:00:00 PM,1/2/2020 2:00:00 PM,RFC,158.577
1/2/2020 8:00:00 PM,1/2/2020 3:00:00 PM,MIDATL,91.286
1/2/2020 8:00:00 PM,1/2/2020 3:00:00 PM,OTHER,1.512
1/2/2020 8:00:00 PM,1/2/2020 3:00:00 PM,SOUTH,281.874
1/2/2020 8:00:00 PM,1/2/2020 3:00:00 PM,WEST,15.566
1/2/2020 8:00:00 PM,1/2/2020 3:00:00 PM,RTO,388.726
1/2/2020 8:00:00 PM,1/2/2020 3:00:00 PM,RFC,106.852
1/2/2020 9:00:00 PM,1/2/2020 4:00:00 PM,MIDATL,14.090
1/2/2020 9:00:00 PM,1/2/2020 4:00:00 PM,OTHER,0.216
1/2/2020 9:00:00 PM,1/2/2020 4:00:00 PM,SOUTH,44.104
1/2/2020 9:00:00 PM,1/2/2020 4:00:00 PM,WEST,1.389
1/2/2020 9:00:00 PM,1/2/2020 4:00:00 PM,RTO,59.583
1/2/2020 9:00:00 PM,1/2/2020 4:00:00 PM,RFC,15.479
1/2/2020 10:00:00 PM,1/2/2020 5:00:00 PM,MIDATL,-1.120
1/2/2020 10:00:00 PM,1/2/2020 5:00:00 PM,OTHER,-0.017
1/2/2020 10:00:00 PM,1/2/2020 5:00:00 PM,SOUTH,-1.706
1/2/2020 10:00:00 PM,1/2/2020 5:00:00 PM,WEST,-0.215
1/2/2020 10:00:00 PM,1/2/2020 5:00:00 PM,RTO,-3.041
1/2/2020 10:00:00 PM,1/2/2020 5:00:00 PM,RFC,-1.335
1/2/2020 11:00:00 PM,1/2/2020 6:00:00 PM,MIDATL,-1.119
1/2/2020 11:00:00 PM,1/2/2020 6:00:00 PM,OTHER,-0.017
1/2/2020 11:00:00 PM,1/2/2020 6:00:00 PM,SOUTH,-1.601
1/2/2020 11:00:00 PM,1/2/2020 6:00:00 PM,WEST,-0.229
1/2/2020 11:00:00 PM,1/2/2020 6:00:00 PM,RTO,-2.949
1/2/2020 11:00:00 PM,1/2/2020 6:00:00 PM,RFC,-1.348
1/3/2020 12:00:00 AM,1/2/2020 7:00:00 PM,MIDATL,-1.114
1/3/2020 12:00:00 AM,1/2/2020 7:00:00 PM,OTHER,-0.026
1/3/2020 12:00:00 AM,1/2/2020 7:00:00 PM,SOUTH,-1.745
1/3/2020 12:00:00 AM,1/2/2020 7:00:00 PM,WEST,-0.243
1/3/2020 12:00:00 AM,1/2/2020 7:00:00 PM,RTO,-3.102
1/3/2020 12:00:00 AM,1/2/2020 7:00:00 PM,RFC,-1.357
1/3/2020 1:00:00 AM,1/2/2020 8:00:00 PM,MIDATL,-1.101
1/3/2020 1:00:00 AM,1/2/2020 8:00:00 PM,OTHER,-0.017
1/3/2020 1:00:00 AM,1/2/2020 8:00:00 PM,SOUTH,-1.689
1/3/2020 1:00:00 AM,1/2/2020 8:00:00 PM,WEST,-0.229
1/3/2020 1:00:00 AM,1/2/2020 8:00:00 PM,RTO,-3.019
1/3/2020 1:00:00 AM,1/2/2020 8:00:00 PM,RFC,-1.330
1/3/2020 2:00:00 AM,1/2/2020 9:00:00 PM,MIDATL,-1.126
1/3/2020 2:00:00 AM,1/2/2020 9:00:00 PM,OTHER,-0.018
1/3/2020 2:00:00 AM,1/2/2020 9:00:00 PM,SOUTH,-1.743
1/3/2020 2:00:00 AM,1/2/2020 9:00:00 PM,WEST,-0.228
1/3/2020 2:00:00 AM,1/2/2020 9:00:00 PM,RTO,-3.097
1/3/2020 2:00:00 AM,1/2/2020 9:00:00 PM,RFC,-1.354
1/3/2020 3:00:00 AM,1/2/2020 10:00:00 PM,MIDATL,-1.106
1/3/2020 3:00:00 AM,1/2/2020 10:00:00 PM,OTHER,-0.017
1/3/2020 3:00:00 AM,1/2/2020 10:00:00 PM,SOUTH,-1.537
1/3/2020 3:00:00 AM,1/2/2020 10:00:00 PM,WEST,-0.236
1/3/2020 3:00:00 AM,1/2/2020 10:00:00 PM,RTO,-2.879
1/3/2020 3:00:00 AM,1/2/2020 10:00:00 PM,RFC,-1.342
1/3/2020 4:00:00 AM,1/2/2020 11:00:00 PM,MIDATL,-1.094
1/3/2020 4:00:00 AM,1/2/2020 11:00:00 PM,OTHER,-0.017
1/3/2020 4:00:00 AM,1/2/2020 11:00:00 PM,SOUTH,-1.811
1/3/2020 4:00:00 AM,1/2/2020 11:00:00 PM,WEST,-0.215
1/3/2020 4:00:00 AM,1/2/2020 11:00:00 PM,RTO,-3.120
1/3/2020 4:00:00 AM,1/2/2020 11:00:00 PM,RFC,-1.309
1/3/2020 5:00:00 AM,1/3/2020 12:00:00 AM,MIDATL,-1.134
1/3/2020 5:00:00 AM,1/3/2020 12:00:00 AM,OTHER,-0.017
1/3/2020 5:00:00 AM,1/3/2020 12:00:00 AM,SOUTH,-1.696
1/3/2020 5:00:00 AM,1/3/2020 12:00:00 AM,WEST,-0.214
1/3/2020 5:00:00 AM,1/3/2020 12:00:00 AM,RTO,-3.044
1/3/2020 5:00:00 AM,1/3/2020 12:00:00 AM,RFC,-1.348
1/3/2020 6:00:00 AM,1/3/2020 1:00:00 AM,MIDATL,-1.115
1/3/2020 6:00:00 AM,1/3/2020 1:00:00 AM,OTHER,-0.018
1/3/2020 6:00:00 AM,1/3/2020 1:00:00 AM,SOUTH,-1.741
1/3/2020 6:00:00 AM,1/3/2020 1:00:00 AM,WEST,-0.215
1/3/2020 6:00:00 AM,1/3/2020 1:00:00 AM,RTO,-3.071
1/3/2020 6:00:00 AM,1/3/2020 1:00:00 AM,RFC,-1.330
1/3/2020 7:00:00 AM,1/3/2020 2:00:00 AM,MIDATL,-1.140
1/3/2020 7:00:00 AM,1/3/2020 2:00:00 AM,OTHER,-0.026
1/3/2020 7:00:00 AM,1/3/2020 2:00:00 AM,SOUTH,-1.686
1/3/2020 7:00:00 AM,1/3/2020 2:00:00 AM,WEST,-0.207
1/3/2020 7:00:00 AM,1/3/2020 2:00:00 AM,RTO,-3.033
1/3/2020 7:00:00 AM,1/3/2020 2:00:00 AM,RFC,-1.347
1/3/2020 8:00:00 AM,1/3/2020 3:00:00 AM,MIDATL,-1.125
1/3/2020 8:00:00 AM,1/3/2020 3:00:00 AM,OTHER,-0.017
1/3/2020 8:00:00 AM,1/3/2020 3:00:00 AM,SOUTH,-1.710
1/3/2020 8:00:00 AM,1/3/2020 3:00:00 AM,WEST,-0.215
1/3/2020 8:00:00 AM,1/3/2020 3:00:00 AM,RTO,-3.050
1/3/2020 8:00:00 AM,1/3/2020 3:00:00 AM,RFC,-1.340
1/3/2020 9:00:00 AM,1/3/2020 4:00:00 AM,MIDATL,-1.117
1/3/2020 9:00:00 AM,1/3/2020 4:00:00 AM,OTHER,-0.017
1/3/2020 9:00:00 AM,1/3/2020 4:00:00 AM,SOUTH,-1.610
1/3/2020 9:00:00 AM,1/3/2020 4:00:00 AM,WEST,-0.207
1/3/2020 9:00:00 AM,1/3/2020 4:00:00 AM,RTO,-2.934
1/3/2020 9:00:00 AM,1/3/2020 4:00:00 AM,RFC,-1.324
1/3/2020 10:00:00 AM,1/3/2020 5:00:00 AM,MIDATL,-1.127
1/3/2020 10:00:00 AM,1/3/2020 5:00:00 AM,OTHER,-0.018
1/3/2020 10:00:00 AM,1/3/2020 5:00:00 AM,SOUTH,-1.655
1/3/2020 10:00:00 AM,1/3/2020 5:00:00 AM,WEST,-0.208
